Latitude,Longitude,Estacao1,Estado2,Histo ANO,Município,Poluente (Sheet 1)1,Tipo de escala1,Tipo de monitoramento (Sheet 1)1,Tipo de monitoramento1,Órgão Gestor,Ano1
-22.892008,-46.415596,Vargem,SP,"2000, 2001, 2002",Vargem,SO2,Não classificada,Manual,Manual,CETESB - SP,2000
-21.137754,-47.991288,Sertãozinho - Centro,SP,"2000, 2001, 2002, 2003",Sertãozinho,SO2,Não classificada,Automática,Automática,CETESB - SP,2000
-20.78468928,-49.39827779,São José do Rio Preto,SP,"2000, 2001, 2002, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",São José do Rio Preto,SO2,Não classificada,"Automática, Manual",Manual,CETESB - SP,2000
-20.78468928,-49.39827779,São José do Rio Preto,SP,"2000, 2001, 2002, 2003, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",São José do Rio Preto,SO2,Não classificada,"Automática, Manual",Automática,CETESB - SP,2000
-23.972421,-46.302249,Santos - Aparecida,SP,"2000, 2001, 2002, 2003",Santos,SO2,Não classificada,Manual,Manual,CETESB - SP,2000
-23.9630572,-46.3211701,Santos,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",Santos,SO2,Não classificada,"Automática, Manual",Manual,CETESB - SP,2000
-23.9630572,-46.3211701,Santos,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",Santos,SO2,Não classificada,"Automática, Manual",Automática,CETESB - SP,2000
-21.16542585,-47.81380106,Ribeirão Preto - Campos Elíseos,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2013, 2014, 2015",Ribeirão Preto,SO2,Média,"Automática, Manual",Manual,CETESB - SP,2000
-21.16542585,-47.81380106,Ribeirão Preto - Campos Elíseos,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2013, 2014, 2015",Ribeirão Preto,SO2,Média,"Automática, Manual",Automática,CETESB - SP,2000
-22.11993673,-51.40877707,Presidente Prudente,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",Presidente Prudente,SO2,Urbana,Automática,Automática,CETESB - SP,2000
-22.678495,-47.679293,Piracicaba - Santa Terezinha,SP,"2000, 2001, 2002, 2003",Piracicaba,SO2,Média,Automática,Automática,CETESB - SP,2000
-22.925552,-45.46251,Pindamonhangaba,SP,"2000, 2001, 2002, 2003",Pindamonhangaba,SO2,Bairro,Manual,Manual,CETESB - SP,2000
-22.78020895,-47.13903651,Paulínia - Santa Terezinha,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020, 2021, 2022",Paulínia,SO2,Bairro,"Automática, Manual",Manual,CETESB - SP,2000
-22.78020895,-47.13903651,Paulínia - Santa Terezinha,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2018, 2019, 2020, 2021, 2022",Paulínia,SO2,Bairro,"Automática, Manual",Automática,CETESB - SP,2000
-22.75186462,-47.17390465,Paulínia - João Aranha,SP,"2000, 2001, 2002, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",Paulínia,SO2,Bairro,Automática,Automática,CETESB - SP,2000
-22.76445684,-47.15083465,Paulínia - Centro,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009",Paulínia,SO2,Bairro,Automática,Automática,CETESB - SP,2000
-23.181232,-46.398478,Nazaré Paulista,SP,"2000, 2001, 2002, 2003",Nazaré Paulista,SO2,Bairro,Manual,Manual,CETESB - SP,2000
-22.19980949,-49.95996974,Marília,SP,"2000, 2001, 2002, 2003, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",Marília,SO2,Bairro e urbana,Automática,Automática,CETESB - SP,2000
-23.19743632,-46.8725086,Jundiaí - Vila Arens,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",Jundiaí,SO2,Média,Automática,Automática,CETESB - SP,2000
-23.190083,-46.888621,Jundiaí - Praça Bandeira,SP,"2000, 2001, 2002",Jundiaí,SO2,Urbana,Manual,Manual,CETESB - SP,2000
-22.930142,-46.273453,Joanópolis,SP,"2000, 2001, 2002, 2003",Joanópolis,SO2,Urbana,Manual,Manual,CETESB - SP,2000
-23.30664449,-45.97425009,Jacareí - Centro,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009",Jacareí,SO2,Bairro,Automática,Automática,CETESB - SP,2000
-22.254505,-47.821107,Itirapina,SP,"2000, 2001, 2002, 2003",Itirapina,SO2,Não classificada,Manual,Manual,CETESB - SP,2000
-22.81894462,-45.19187698,Guaratinguetá - Centro,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009",Guaratinguetá,SO2,Não classificada,Automática,Automática,CETESB - SP,2000
-22.63990889,-47.19662152,Cosmópolis,SP,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009",Cosmópolis,SO2,Não classificada,Automática,Automática,CETESB - SP,2000
-21.14194276,-48.98307526,Catanduva,SP,"2000, 2001, 2002, 2003, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",Catanduva,SO2,Urbana,Automática,Automática,CETESB - SP,2000
